descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Arroz, integral, cozido;124;2,6;1,0;NA;25,8;2,7;5;106;0,3;1;75;;1
Arroz, integral, cru;360;7,3;1,9;NA;77,5;4,8;8;251;0,9;2;173;;1
Arroz, tipo 1, cozido;128;2,5;0,2;NA;28,1;1,6;4;18;0,1;1;15;;1
Arroz, tipo 1, cru;358;7,2;0,3;NA;78,8;1,6;4;104;0,7;1;62;;1
Arroz, tipo 2, cozido;130;2,6;0,4;NA;28,2;1,1;3;22;0,1;2;20;;1
Arroz, tipo 2, cru;358;7,2;0,3;NA;78,9;1,7;5;82;0,6;1;57;;1
Aveia, flocos, crua;394;13,9;8,5;NA;66,6;9,1;48;153;4,4;5;336;1,4;1
Biscoito, doce, maisena;443;8,1;12,0;NA;75,2;2,1;54;166;1,8;352;142;6,2;1
Biscoito, doce, recheado com chocolate;472;6,4;19,6;Tr;70,5;3,0;27;139;2,3;239;232;3,5;1
Biscoito, doce, recheado com morango;471;5,7;19,6;Tr;71,0;1,5;36;138;1,5;230;113;Tr;1
Biscoito, doce, wafer, recheado de chocolate;502;5,6;24,7;Tr;67,5;1,8;23;124;2,4;137;240;Tr;1
Biscoito, doce, wafer, recheado de morango;513;4,5;26,4;1;67,4;0,8;14;73;1,1;120;75;;1
Biscoito, salgado, cream cracker;432;10,1;14,4;NA;68,7;2,5;20;148;2,2;854;181;;1
Bolo, mistura para;419;6,2;6,1;Tr;84,7;1,7;59;333;1,2;463;75;Tr;1
Bolo, pronto, aipim;324;4,4;12,7;73;47,9;0,7;85;122;0,5;111;135;Tr;1
Bolo, pronto, chocolate;410;6,2;18,5;77;54,7;1,4;75;197;2,1;283;212;Tr;1
Bolo, pronto, coco;333;5,7;11,3;63;52,3;1,1;57;303;0,8;190;143;Tr;1
Bolo, pronto, milho;311;4,8;12,4;82;45,1;0,7;83;128;0,7;134;118;Tr;1
Canjica, branca, crua;358;7,2;1,0;NA;78,1;5,5;2;48;0,3;1;93;Tr;1
Canjica, com leite integral;112;2,4;1,2;1;23,6;1,2;43;41;0,1;28;70;Tr;1
Cereais, milho, flocos, com sal;370;7,3;1,6;NA;80,8;5,3;2;91;0,5;272;69;Tr;1
Cereais, milho, flocos, sem sal;363;6,9;1,2;NA;80,4;1,8;2;58;1,7;31;29;Tr;1
Cereais, mingau, milho, infantil;394;6,4;1,1;NA;87,3;3,2;219;169;3,0;399;82;109,4;1
Cereais, mistura para vitamina, trigo, cevada e aveia;381;8,9;2,1;NA;81,6;5,0;584;515;12,6;1163;244;13,1;1
Cereal matinal, milho;365;7,2;1,0;NA;83,8;4,1;143;101;3,1;655;83;17,3;1
Cereal matinal, milho, açúcar;377;4,7;0,7;NA;88,8;2,1;56;43;3,9;405;52;14,6;1
Creme de arroz, pó;386;7,0;1,2;NA;83,9;1,1;7;153;0,6;1;115;Tr;1
Creme de milho, pó;333;4,8;1,6;NA;86,1;3,7;323;303;4,3;594;166;96,3;1
Curau, milho verde;78;2,4;1,6;5;13,9;0,5;53;75;0,4;21;162;Tr;1
Curau, milho verde, mistura para;402;2,2;13,4;NA;79,8;2,5;31;45;0,9;223;55;Tr;1
Farinha, de arroz, enriquecida;363;1,3;0,3;NA;85,5;0,6;1;36;31,4;17;13;173,6;1
Farinha, de centeio, integral;336;12,5;1,8;NA;73,3;15,5;34;340;4,7;41;334;Tr;1
Farinha, de milho, amarela;351;7,2;1,5;NA;79,1;5,5;1;84;2,3;45;58;Tr;1
Farinha, de rosca;371;11,4;1,5;NA;75,8;4,8;35;195;6,7;333;212;Tr;1
Farinha, de trigo;360;9,8;1,4;NA;75,1;2,3;18;115;1,0;1;151;Tr;1
Farinha, láctea, de cereais;415;11,9;5,8;11;77,8;1,9;196;296;8,7;125;366;24,3;1
Lasanha, massa fresca, cozida;164;5,8;1,2;NA;32,5;1,6;10;42;1,2;207;54; ;1
Lasanha, massa fresca, crua;220;7,0;1,3;NA;45,1;1,6;17;82;1,9;667;137; ;1
Macarrão, instantâneo;436;8,8;17,2;NA;62,4;5,6;18;112;0,8;1516;148;Tr;1
Macarrão, trigo, cru;371;10,0;1,3;NA;77,9;2,9;17;100;0,9;7;147;Tr;1
Macarrão, trigo, cru, com ovos;371;10,3;2,0;18;76,6;2,3;19;118;0,9;15;134;Tr;1
Milho, amido, cru;361;0,6;Tr;NA;87,1;0,7;1;13;0,1;8;9;Tr;1
Milho, fubá, cru;353;7,2;1,9;NA;78,9;4,7;3;108;0,9;Tr;168;Tr;1
Milho, verde, cru;138;6,6;0,6;NA;28,6;3,9;2;113;0,4;1;185;Tr;1
Milho, verde, enlatado, drenado;98;3,2;2,4;NA;17,1;4,6;2;61;0,6;260;162;1,7;1
Mingau tradicional, pó;373;0,6;0,4;NA;89,3;0,9;522;273;42,0;15;Tr;Tr;1
